numberinit	nameCommon	genus	species	family	climate	humidity	form	height	lifespan	utilities	classsyntropic_strata	classsyntropic_lifecycle	precipitation_min	precipitation_max	temperature_min	temperature_max	price	nutrients	precipitation	temperature
166	Okra	abelmoschus	esculentus	malvaceae			herb	1	1	food	medium	placenta	null	null	-9	12			NA	(-9)-(12)
380	Silver Fir	abies	alba	pinaceae			tree	null	null	timber	emergent	placenta	null	null	null	null	null		NA	NA
368	Nordmann fir	abies	nordmanniana	pinaceae			tree	55	null	timber	emergent	placenta	null	null	null	null	null		NA	NA
367	Algerian Fir	abies	numidica	pinaceae			tree	25	null		emergent	placenta	null	null	null	null	null		NA	NA
157	Cole's Wattle	acacia	colei	fabaceae			shrub	4	10	food; biomass; nitrogen	high	secondary	230	750	-1	16			(230)-(750)	(-1)-(16)
192	Monkey thorn	acacia	galpinii	fabaceae			tree	30	null	nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
155	Koa	acacia	koa	fabaceae			tree	20	20	fodder; nitrogen; shade	medium	secondary	1900	5100	-1	16			(1900)-(5100)	(-1)-(16)
291	Hickory Wattle	acacia	mangium	fabaceae			tree	30	45	timber	emergent	placenta	1000	4000	-1	16	null		(1000)-(4000)	(-1)-(16)
373	Australian blackwood	acacia	melanoxylon	fabaceae			tree	null	null		emergent	placenta	null	null	null	null	null		NA	NA
160	Murray's Wattle	acacia	murrayana	fabaceae			tree	5	25	food; nitrogen	medium	secondary	100	500	-1	16			(100)-(500)	(-1)-(16)
158	Orange Wattle	acacia	saligna	fabaceae			shrub	6	40	food; biomass; fodder; nitrogen	high	secondary	null	null	-17	4			NA	(-17)-(4)
357	Feijoa	acca	sellowiana	myrtaceae			shrub	3	45	food	emergent	placenta	600	2000	-12	10	null		(600)-(2000)	(-12)-(10)
345	Field Maple	acer	campestre	sapindaceae			tree	15	null		emergent	placenta	500	1200	-35	-7	null		(500)-(1200)	(-35)-(-7)
224	Black Maple	acer	nigrum	sapindaceae			tree	25	200	food	emergent	placenta	610	1510	-35	-17	null		(610)-(1510)	(-35)-(-17)
333	Norway Maple	acer	platanoides	sapindaceae			tree	null	null		emergent	placenta	null	null	null	null	null		NA	NA
184	Sycamore	acer	pseudoplatanus	sapindaceae			tree	30	null	timber	emergent	placenta	null	null	-34	-12	null		NA	(-34)-(-12)
225	Red Maple	acer	rubrum	sapindaceae			tree	30	120	food	emergent	placenta	500	800	-35	-1	null		(500)-(800)	(-35)-(-1)
223	Sugar Maple	acer	saccharum	sapindaceae			tree	30	200	fodder; food	emergent	placenta	510	2030	-35	-7	null		(510)-(2030)	(-35)-(-7)
260	Pink Cedar	acrocarpus	fraxinifolius	fabaceae			tree	30	120	timber; nitrogen	emergent	placenta	500	2500	-1	16	null		(500)-(2500)	(-1)-(16)
358	Tara Vine	actinidia	arguta	actinidiaceae			vine	15	null	food	emergent	placenta	null	null	-35	-7	null		NA	(-35)-(-7)
176	Kiwi	actinidia	deliciosa	actinidiaceae			vine	9	50	food	high	secondary	1000	2000	-24	-1	null		(1000)-(2000)	(-24)-(-1)
123	Baobab	adansonia	digitata	malvaceae			tree	20	800		high	climax	100	1500	-1	16			(100)-(1500)	(-1)-(16)
162	Kauri	agathis	robusta	araucariaceae			tree	45	null	timber	high	secondary	950	5000	-12	10			(950)-(5000)	(-12)-(10)
36	Maguey (agave)	agave	americana	asparagaceae			succulent	7.5					0	1000	-12	10			(0)-(1000)	(-12)-(10)
42	Giant agave	agave	salmiana	asparagaceae			succulent	2	null	fodder; biomass	high	secondary	300	700	-7	10			(300)-(700)	(-7)-(10)
37	Sisal	agave	sisalana	asparagaceae			succulent	2					900	1250	-7	11			(900)-(1250)	(-7)-(11)
68	Blue agave	agave	tequilana	asparagaceae			succulent	2					300	800	-1	16			(300)-(800)	(-1)-(16)
257	Silktree	albizia	julibrissin	fabaceae			tree	12	null	biomass; nitrogen	emergent	placenta	null	null	-24	-1	null		NA	(-24)-(-1)
416	Leek	allium	ampeloprasum	amaryllidaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
204	Onion	allium	cepa	amaryllidaceae			herb	0.6	2	food	emergent	placenta	null	null	-34	4	null		NA	(-34)-(4)
421	Bunching onion - Welsh Onion	allium	fistulosum	amaryllidaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
415	Garlic	allium	sativum	amaryllidaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
414	Chives	allium	schoenoprasum	amaryllidaceae			herb	null	null	spice	emergent	placenta	null	null	null	null	null		NA	NA
